open;high;low;close;volume;datetime;gap;timestamp
198.06;198.6;198.03;198.6;2233.0;2017-01-03 04:00:00;0.0;1483416000
198.6;198.6;198.6;198.6;229.0;2017-01-03 04:30:00;0.0;1483417800
198.65;198.65;198.65;198.65;50.0;2017-01-03 05:00:00;0.0;1483419600
198.65;198.65;198.65;198.65;0.0;2017-01-03 05:30:00;1.0;1483421400
198.67;198.69;198.67;198.69;450.0;2017-01-03 06:00:00;0.0;1483423200
198.88;198.88;198.84;198.84;240.0;2017-01-03 06:30:00;0.0;1483425000
198.97;199.09;198.94;198.94;616.0;2017-01-03 07:00:00;0.0;1483426800
198.95;198.95;198.8;198.9;6090.0;2017-01-03 07:30:00;0.0;1483428600
199.03;199.03;198.9;198.95;3570.0;2017-01-03 08:00:00;0.0;1483430400
198.65;198.75;198.65;198.72;2347.0;2017-01-03 08:30:00;0.0;1483432200
198.7;198.98;197.51;198.89;8465.0;2017-01-03 09:00:00;0.0;1483434000
198.91;199.1;198.56;198.66;1131739.0;2017-01-03 09:30:00;0.0;1483435800
198.66;199.09;198.6;198.9;943472.0;2017-01-03 10:00:00;0.0;1483437600
198.9;198.99;198.05;198.12;445363.0;2017-01-03 10:30:00;0.0;1483439400
198.11;198.17;197.9;197.93;405059.0;2017-01-03 11:00:00;0.0;1483441200
197.93;198.07;197.5;197.85;325350.0;2017-01-03 11:30:00;0.0;1483443000
197.86;197.9;197.66;197.742;265093.0;2017-01-03 12:00:00;0.0;1483444800
197.72;197.8;197.48;197.68;207431.0;2017-01-03 12:30:00;0.0;1483446600
197.68;197.7928;197.52;197.715;113375.0;2017-01-03 13:00:00;0.0;1483448400
197.7057;197.75;197.55;197.59;210631.0;2017-01-03 13:30:00;0.0;1483450200
197.6;197.7836;197.59;197.643;113006.0;2017-01-03 14:00:00;0.0;1483452000
197.6499;197.855;197.6;197.82;100986.0;2017-01-03 14:30:00;0.0;1483453800
197.84;198.04;197.78;197.8742;196878.0;2017-01-03 15:00:00;0.0;1483455600
197.87;198.5;197.79;198.5;847921.0;2017-01-03 15:30:00;0.0;1483457400
198.5;198.55;198.39;198.54;237527.0;2017-01-03 16:00:00;0.0;1483459200
198.54;198.54;198.47;198.47;393.0;2017-01-03 16:30:00;0.0;1483461000
