datetime;close;high;low;open
2018-08-01 09:30:00;198.6;199.25;197.35;199.145
2018-08-01 09:40:00;197.95;198.56;197.56;198.56
2018-08-01 09:50:00;198.77;198.89;197.77;198.01
2018-08-01 10:00:00;198.32;199.06;197.96;198.75
2018-08-01 10:10:00;199.26;199.34;198.11;198.35
2018-08-01 10:20:00;199.61;199.79;199.22;199.265
2018-08-01 10:30:00;199.97;200.0;199.61;199.61
2018-08-01 10:40:00;201.03;201.07;199.82;199.99
2018-08-01 10:50:00;200.43;201.29;200.19;201.0
2018-08-01 11:00:00;200.19;200.9;200.04;200.46
2018-08-01 11:10:00;200.295;200.46;200.18;200.205
2018-08-01 11:20:00;200.88;200.89;200.18;200.25
2018-08-01 11:30:00;199.905;200.89;199.355;200.89
2018-08-01 11:40:00;199.93;199.93;199.51;199.84
2018-08-01 11:50:00;199.93;200.635;199.91;199.95
2018-08-01 12:00:00;200.24;200.39;199.75;199.95
2018-08-01 12:10:00;200.32;200.75;200.25;200.25
2018-08-01 12:20:00;200.01;200.3;199.78;200.3
2018-08-01 12:30:00;200.13;200.265;199.905;199.94
2018-08-01 12:40:00;199.92;200.21;199.9;200.13
2018-08-01 12:50:00;200.16;200.445;199.96;199.96
2018-08-01 13:00:00;200.47;200.57;200.14;200.14
2018-08-01 13:10:00;200.75;201.0;200.46;200.51
2018-08-01 13:20:00;200.54;200.78;200.49;200.725
2018-08-01 13:30:00;200.52;200.67;200.36;200.535
2018-08-01 13:40:00;200.125;200.51;199.97;200.51
2018-08-01 13:50:00;200.02;200.31;199.9;200.1
2018-08-01 14:00:00;199.86;200.4;199.59;200.07
2018-08-01 14:10:00;200.265;200.47;199.78;199.835
2018-08-01 14:20:00;200.48;200.55;200.11;200.24
2018-08-01 14:30:00;200.245;200.54;200.15;200.435
2018-08-01 14:40:00;199.91;200.39;199.905;200.29
2018-08-01 14:50:00;200.21;200.225;199.905;199.905
2018-08-01 15:00:00;200.24;200.26;200.055;200.21
2018-08-01 15:10:00;200.4;200.48;200.18;200.235
2018-08-01 15:20:00;200.83;200.85;200.39;200.39
2018-08-01 15:30:00;200.97;201.26;200.69;200.83
2018-08-01 15:40:00;201.52;201.54;200.87;200.87
2018-08-01 15:50:00;201.62;201.755;201.06;201.32
2018-08-01 16:00:00;201.62;201.62;201.62;201.62
2018-08-01 16:10:00;201.62;201.62;201.62;201.62
2018-08-01 16:20:00;201.62;201.62;201.62;201.62
2018-08-01 16:30:00;201.62;201.62;201.62;201.62
2018-08-01 16:40:00;201.62;201.62;201.62;201.62
2018-08-02 09:30:00;201.35;201.95;200.37;200.53
2018-08-02 09:40:00;202.64;202.84;201.25;201.39
2018-08-02 09:50:00;203.26;203.57;202.61;202.63
2018-08-02 10:00:00;203.8;203.795;202.89;203.31
2018-08-02 10:10:00;204.11;204.17;203.51;203.81
2018-08-02 10:20:00;204.75;204.81;204.115;204.13
2018-08-02 10:30:00;205.515;205.64;204.48;204.785
2018-08-02 10:40:00;206.14;206.14;205.14;205.525
2018-08-02 10:50:00;205.91;206.56;205.41;206.11
2018-08-02 11:00:00;205.23;206.24;205.23;205.91
2018-08-02 11:10:00;206.21;206.52;205.1;205.26
2018-08-02 11:20:00;206.43;206.76;206.23;206.25
2018-08-02 11:30:00;206.94;206.99;206.415;206.42
2018-08-02 11:40:00;206.27;207.04;206.29;206.93
2018-08-02 11:50:00;206.64;206.6;205.89;206.29
2018-08-02 12:00:00;206.75;206.75;206.12;206.68
2018-08-02 12:10:00;206.93;206.99;206.74;206.745
2018-08-02 12:20:00;206.48;206.965;206.13;206.94
2018-08-02 12:30:00;206.67;206.89;206.455;206.48
2018-08-02 12:40:00;206.49;206.915;206.47;206.665
2018-08-02 12:50:00;206.42;206.51;206.325;206.46
2018-08-02 13:00:00;206.855;206.905;206.42;206.43
2018-08-02 13:10:00;206.81;207.25;206.49;206.855
2018-08-02 13:20:00;206.78;206.95;206.65;206.82
2018-08-02 13:30:00;207.085;207.44;206.77;206.805
2018-08-02 13:40:00;207.7;207.75;207.09;207.09
2018-08-02 13:50:00;207.91;207.97;207.6;207.7
2018-08-02 14:00:00;208.18;208.3;207.85;207.91
2018-08-02 14:10:00;207.965;208.365;207.84;208.21
2018-08-02 14:20:00;207.75;208.12;207.67;207.97
2018-08-02 14:30:00;207.96;208.045;207.73;207.73
2018-08-02 14:40:00;207.89;208.27;207.8;207.95
2018-08-02 14:50:00;207.75;207.955;207.61;207.885
2018-08-02 15:00:00;207.84;207.99;207.53;207.74
2018-08-02 15:10:00;207.72;207.825;207.595;207.825
2018-08-02 15:20:00;207.56;207.72;207.54;207.7
2018-08-02 15:30:00;207.51;207.625;207.37;207.56
2018-08-02 15:40:00;207.895;207.9;207.505;207.505
2018-08-02 15:50:00;207.54;207.915;207.45;207.915
2018-08-02 16:00:00;207.39;207.39;207.39;207.39
2018-08-02 16:10:00;207.39;207.39;207.39;207.39
2018-08-02 16:20:00;207.39;207.39;207.39;207.39
2018-08-02 16:30:00;207.39;207.39;207.39;207.39
2018-08-02 16:40:00;207.39;207.39;207.39;207.39
2018-08-03 09:30:00;207.39;207.39;207.39;207.39
2018-08-03 09:40:00;207.39;207.39;207.39;207.39
