datetime;close;high;low;open
2018-08-01 09:30:00;197.88;199.25;197.35;199.145
2018-08-01 09:45:00;198.77;198.89;197.77;198.025
2018-08-01 10:00:00;198.69;199.06;197.96;198.75
2018-08-01 10:15:00;199.61;199.79;198.69;198.69
2018-08-01 10:30:00;200.48;200.48;199.61;199.61
2018-08-01 10:45:00;200.43;201.29;200.19;200.465
2018-08-01 11:00:00;200.46;200.9;200.04;200.46
2018-08-01 11:15:00;200.88;200.89;200.18;200.455
2018-08-01 11:30:00;199.66;200.89;199.355;200.89
2018-08-01 11:45:00;199.93;200.635;199.545;199.68
2018-08-01 12:00:00;200.52;200.75;199.75;199.95
2018-08-01 12:15:00;200.01;200.52;199.78;200.515
2018-08-01 12:30:00;200.08;200.265;199.9;199.94
2018-08-01 12:45:00;200.16;200.445;199.9;200.08
2018-08-01 13:00:00;200.68;200.68;200.14;200.14
2018-08-01 13:15:00;200.54;201.0;200.49;200.685
2018-08-01 13:30:00;200.38;200.67;200.17;200.535
2018-08-01 13:45:00;200.02;200.38;199.9;200.38
2018-08-01 14:00:00;200.2;200.4;199.59;200.07
2018-08-01 14:15:00;200.48;200.55;200.11;200.235
2018-08-01 14:30:00;200.12;200.54;200.045;200.435
2018-08-01 14:45:00;200.21;200.225;199.905;200.13
2018-08-01 15:00:00;200.27;200.385;200.055;200.21
2018-08-01 15:15:00;200.83;200.85;200.27;200.27
2018-08-01 15:30:00;201.3;201.36;200.69;200.83
2018-08-01 15:45:00;201.62;201.755;201.06;201.29
2018-08-01 16:00:00;201.62;201.62;201.62;201.62
2018-08-01 16:15:00;201.62;201.62;201.62;201.62
2018-08-01 16:30:00;201.62;201.62;201.62;201.62
2018-08-01 16:45:00;201.62;201.62;201.62;201.62
2018-08-02 09:30:00;202.02;202.14;200.37;200.53
2018-08-02 09:45:00;203.26;203.57;202.06;202.06
2018-08-02 10:00:00;203.57;203.87;202.89;203.31
2018-08-02 10:15:00;204.75;204.81;203.58;203.585
2018-08-02 10:30:00;205.3;205.65;204.48;204.785
2018-08-02 10:45:00;205.91;206.56;205.14;205.32
2018-08-02 11:00:00;205.75;206.24;205.1;205.91
2018-08-02 11:15:00;206.43;206.76;205.75;205.76
2018-08-02 11:30:00;206.77;206.99;206.415;206.42
2018-08-02 11:45:00;206.64;207.04;205.89;206.785
2018-08-02 12:00:00;206.96;206.94;206.12;206.68
2018-08-02 12:15:00;206.48;206.99;206.13;206.965
2018-08-02 12:30:00;206.76;206.915;206.455;206.48
2018-08-02 12:45:00;206.42;206.805;206.325;206.765
2018-08-02 13:00:00;206.69;207.25;206.42;206.43
2018-08-02 13:15:00;206.78;206.95;206.49;206.74
2018-08-02 13:30:00;207.38;207.44;206.77;206.805
2018-08-02 13:45:00;207.91;207.97;207.375;207.38
2018-08-02 14:00:00;208.295;208.365;207.85;207.91
2018-08-02 14:15:00;207.75;208.3;207.67;208.3
2018-08-02 14:30:00;207.94;208.27;207.73;207.73
2018-08-02 14:45:00;207.75;208.0;207.61;207.94
2018-08-02 15:00:00;207.74;207.99;207.53;207.74
2018-08-02 15:15:00;207.56;207.8;207.54;207.77
2018-08-02 15:30:00;207.57;207.7;207.37;207.56
2018-08-02 15:45:00;207.54;207.915;207.45;207.56
2018-08-02 16:00:00;207.39;207.39;207.39;207.39
2018-08-02 16:15:00;207.39;207.39;207.39;207.39
2018-08-02 16:30:00;207.39;207.39;207.39;207.39
2018-08-02 16:45:00;207.39;207.39;207.39;207.39
2018-08-03 09:30:00;207.39;207.39;207.39;207.39
2018-08-03 09:45:00;207.39;207.39;207.39;207.39
2018-08-03 10:00:00;206.71;207.39;206.69;207.39
2018-08-03 10:15:00;207.19;207.375;206.62;206.755
2018-08-03 10:30:00;207.22;207.54;206.79;207.2
2018-08-03 10:45:00;206.62;207.235;206.56;207.19
2018-08-03 11:00:00;207.22;207.18;206.51;206.665
2018-08-03 11:15:00;207.28;207.41;207.11;207.24
2018-08-03 11:30:00;207.21;207.29;206.92;207.29
2018-08-03 11:45:00;207.04;207.33;207.0;207.24
2018-08-03 12:00:00;207.38;207.4;207.03;207.035
2018-08-03 12:15:00;208.03;208.13;207.4;207.4
2018-08-03 12:30:00;208.485;208.5;208.06;208.06
2018-08-03 12:45:00;208.43;208.68;208.15;208.49
2018-08-03 13:00:00;208.47;208.67;208.43;208.51
2018-08-03 13:15:00;208.17;208.61;208.1;208.55
2018-08-03 13:30:00;208.28;208.28;207.8;208.18
2018-08-03 13:45:00;208.23;208.32;208.1;208.25
2018-08-03 14:00:00;207.98;208.23;207.98;208.16
2018-08-03 14:15:00;207.76;207.97;207.61;207.96
2018-08-03 14:30:00;207.49;207.82;207.44;207.765
2018-08-03 14:45:00;207.48;207.52;207.35;207.495
2018-08-03 15:00:00;207.74;207.78;207.445;207.49
2018-08-03 15:15:00;207.58;207.94;207.54;207.76
2018-08-03 15:30:00;207.69;207.72;207.53;207.59
2018-08-03 15:45:00;207.96;207.97;207.63;207.67
2018-08-09 09:30:00;208.525;208.66;207.25;207.25
2018-08-09 09:45:00;208.53;208.7;208.33;208.47
2018-08-09 10:00:00;209.27;209.47;208.53;208.53
2018-08-09 10:15:00;209.52;209.57;209.1;209.265
2018-08-09 10:30:00;209.32;209.595;209.18;209.48
2018-08-09 10:45:00;208.835;209.38;208.75;209.27
2018-08-09 11:00:00;208.4;209.21;208.28;208.875
2018-08-09 11:15:00;208.96;208.96;208.24;208.37
2018-08-09 11:30:00;209.23;209.28;208.92;208.95
2018-08-09 11:45:00;208.94;209.235;208.7;209.235
2018-08-09 12:00:00;209.31;209.35;208.92;208.955
2018-08-09 12:15:00;209.22;209.38;209.2;209.335
2018-08-09 12:30:00;209.29;209.31;209.08;209.22
2018-08-09 12:45:00;209.55;209.555;209.28;209.29
2018-08-09 13:00:00;209.575;209.625;209.45;209.56
2018-08-09 13:15:00;209.425;209.745;209.36;209.6
2018-08-09 13:30:00;209.59;209.6;209.4;209.45
2018-08-09 13:45:00;209.49;209.61;209.41;209.59
2018-08-09 14:00:00;209.65;209.69;209.45;209.5
2018-08-09 14:15:00;209.64;209.65;209.44;209.65
2018-08-09 14:30:00;209.61;209.77;209.545;209.645
2018-08-09 14:45:00;209.42;209.705;209.44;209.6
2018-08-09 15:00:00;209.57;209.64;209.415;209.415
2018-08-09 15:15:00;209.58;209.68;209.57;209.6
2018-08-09 15:30:00;209.59;209.64;209.34;209.565
2018-08-09 15:45:00;209.04;209.59;208.83;209.59
2018-08-09 16:00:00;208.88;208.88;208.88;208.88
2018-08-10 09:30:00;208.95;209.1;207.19;207.36
2018-08-10 09:45:00;208.05;209.02;208.03;208.95
2018-08-10 10:00:00;208.27;208.3;207.31;208.05
2018-08-10 10:15:00;208.49200000000002;208.9;208.192;208.26
2018-08-10 10:30:00;208.2;208.99;208.19;208.52
2018-08-10 10:45:00;207.99;208.4;207.88;208.2
2018-08-10 11:00:00;208.14;208.27;207.85;207.98
2018-08-10 11:15:00;208.293;208.47;208.04;208.13
2018-08-10 11:30:00;208.08;208.5;208.05;208.29
2018-08-10 11:45:00;207.975;208.22;207.865;208.075
2018-08-10 12:00:00;208.0;208.22;207.8;207.97
2018-08-10 12:15:00;208.078;208.17;207.94;208.0
2018-08-10 12:30:00;207.91;208.16;207.9;208.08
2018-08-10 12:45:00;207.89;207.95;207.75;207.916
