rsi_10;willr_10;macd_macd;cci_10;mom_10;stoch_slowk;stoch_slowd;sma_5;sma_10;sma_20;sma_30;wma_5;wma_10;wma_20;wma_30;ema_5;ema_10;ema_20;ema_30;trima_5;trima_10;trima_20;trima_30;adx_10;bbands_upperband;bbands_middleband;bbands_lowerband;roc_10;rocr_10;stochf_fastd;stochf_fastk;aroon_aroondown;aroon_aroonup;medprice_10;typprice_10;wclprice_10;atr_10;macdfix_macd;sar_10;label
53.48549022435151;-37.133550488598985;0.41342187861843627;64.37889960295094;-0.5600000000000023;65.92048929663683;62.134030963303566;200.22999999999996;200.14200000000002;200.34675000000004;199.94483333333338;;200.21827272727273;;;200.29405318421297;200.24444215609384;200.02824444290997;199.81603041457643;200.2544444444446;200.13116666666653;200.29586363636366;200.17949999999993;29.645487718925658;200.69521243653682;200.14200000000002;199.58878756346323;-0.2787733970529671;0.9972122660294703;65.92048929663683;56.99999999999932;20.0;10.0;200.385;200.36333333333332;200.3525;0.5330923543228826;0.41186157379169686;199.38289999999998;0
49.114217394828415;-50.179211469532866;0.36342917366405914;2.991183879094097;-0.1349999999999909;54.6666666666672;62.05810397553586;200.25399999999996;200.12850000000003;200.32525000000004;200.0008333333334;;200.20154545454548;;;200.21270212280865;200.20908903680404;200.03031640072805;199.83112522653926;200.31888888888903;200.16449999999983;200.25740909090914;200.2157708333333;28.36194779574314;200.6834423392803;200.12850000000003;199.57355766071976;-0.06743762020130495;0.999325623797987;54.6666666666672;30.000000000001137;10.0;0.0;200.15;200.11666666666667;200.10000000000002;0.5117831188905937;0.36267497369343005;199.41024199999998;0
48.462245041940434;-59.677419354839;0.3169285737862424;-43.97905759163601;0.10499999999998977;36.90378006872837;52.49697867734412;200.22799999999995;200.13900000000004;200.27425000000002;200.0421666666667;;200.18000000000004;;;200.1451347485391;200.1728910301124;200.0283815054206;199.84266553450448;200.26111111111126;200.20199999999983;200.22259090909094;200.2425833333333;25.996562503854175;200.68043882382182;200.13900000000004;199.59756117617826;0.05252494935092944;1.0005252494935093;36.90378006872837;23.71134020618454;0.0;70.0;199.995;200.0;200.0025;0.503604807001535;0.3169219159121326;199.43703716;1
49.57780382251797;-56.43153526970953;0.28167108301263966;-47.87234042554636;0.4099999999999966;27.86941580755995;39.81328751431849;200.19399999999996;200.18;200.25275000000005;200.08750000000003;;200.1674545454546;;;200.1200898323594;200.15418357009196;200.03234517157102;199.85733227421386;200.1555555555557;200.2259999999998;200.20172727272728;200.26141666666663;23.867715741154104;200.62335087682573;200.18;199.7366491231743;0.2053490934588842;1.0020534909345888;27.86941580755995;29.89690721649406;0.0;60.0;200.0375;200.04833333333332;200.05374999999998;0.47974432630138014;0.2818832026775624;199.46329641679998;1
50.762003201346296;-62.000000000000455;0.25562409071977754;-18.14117444759706;0.19999999999998863;33.63518157332489;32.80279248320439;200.11599999999996;200.2;200.23775000000006;200.14783333333338;;200.15836363636367;;;200.12339322157294;200.14978655734797;200.0416456314214;199.8749237403936;200.08000000000015;200.21766666666647;200.19031818181818;200.2727291666666;22.450523788068892;200.613473094672;200.2;199.78652690532797;0.1000350122542848;1.0010003501225428;33.63518157332489;47.29729729729595;0.0;50.0;200.1775;200.16166666666666;200.15375;0.4512698936712415;0.25566282836675214;199.48903048846398;0
49.68162671601073;-66.99999999999875;0.22831520398639782;-61.35394984634611;-0.5099999999999909;44.96217073536629;35.48892270541703;200.06799999999996;200.149;200.19675000000004;200.19416666666672;;200.13654545454548;;;200.10892881438195;200.13709809237562;200.04529842842888;199.88815446681983;200.06888888888903;200.18166666666644;200.1788181818182;200.27224999999996;20.378863646440877;200.47377068832793;200.149;199.82422931167207;-0.25424996261029786;0.997457500373897;44.96217073536629;57.692307692308745;20.0;40.0;200.055;200.06333333333336;200.0675;0.4371429043041176;0.2284208522457618;199.5142498786947;0
46.18653017447795;-83.00000000000125;0.19155393712705404;-91.06984969054949;-0.010000000000019327;44.61852812368206;41.071960144124404;200.04199999999994;200.148;200.18325000000004;200.2161666666667;;200.0949090909091;;;200.0459525429213;200.0976257119437;200.033365244769;199.8902090173476;200.06888888888906;200.15033333333312;200.17004545454546;200.2615416666666;18.514369518975663;200.47551183183378;200.148;199.8204881681662;-0.005001750612720901;0.9999499824938728;44.61852812368206;28.865979381441367;10.0;30.0;200.005;199.97666666666666;199.96249999999998;0.41442861387370666;0.19243211393285264;199.53896488112082;1
52.661967596447234;-56.70103092783629;0.18290560625862895;-4.324121075389637;0.060000000000002274;54.49378799894182;48.02482895266338;200.07999999999993;200.15400000000002;200.17025000000004;200.23116666666672;;200.10436363636367;;;200.09730169528086;200.11623921886303;200.04923522145765;199.91019553235742;200.06777777777796;200.12133333333313;200.16418181818182;200.24820833333325;17.594647965698552;200.4829012008957;200.15400000000002;199.82509879910435;0.02997901468972941;1.0002997901468973;54.49378799894182;76.92307692307524;0.0;20.0;200.125;200.15;200.1625;0.40998575248633645;0.18297110715261056;199.5631855834984;0
51.674966200700425;-60.82474226804166;0.17085457089149259;40.715883668914174;-0.0800000000000125;51.165159440954916;50.09249185452625;200.09799999999993;200.14600000000002;200.16350000000003;200.24950000000004;;200.10545454545456;;;200.11820113018723;200.1241957245243;200.0597842479855;199.92631194962468;200.067777777778;200.09966666666645;200.16049999999998;200.23631249999988;17.620662316707957;200.46999999991382;200.14600000000002;199.8220000000862;-0.03995205753096753;0.9996004794246903;51.165159440954916;47.70642201834805;40.0;10.0;200.2775;200.23833333333334;200.21875;0.4024871772377008;0.1704739656161678;199.58692187182845;1
56.43762064151364;-20.27027027027079;0.17621795263073636;118.8871054039651;-0.15000000000000568;68.55466056668205;58.07120266885958;200.14599999999993;200.13100000000003;200.16450000000003;200.2631666666667;;200.14618181818187;;;200.2021340867915;200.16888741097443;200.08932860532022;199.95493698513278;200.13444444444463;200.0916666666664;200.1559545454545;200.22604166666656;17.83363635326842;200.39214363848302;200.13100000000003;199.86985636151704;-0.07480550568521593;0.9992519449431478;68.55466056668205;81.03448275862272;30.0;0.0;200.31;200.33;200.34;0.39623845951393105;0.17448025596996786;199.61018343439187;1
