rsi_10;willr_10;macd_macd;cci_10;mom_10;stoch_slowk;stoch_slowd;sma_5;sma_10;sma_20;sma_30;wma_5;wma_10;wma_20;wma_30;ema_5;ema_10;ema_20;ema_30;trima_5;trima_10;trima_20;trima_30;adx_10;bbands_upperband;bbands_middleband;bbands_lowerband;roc_10;rocr_10;stochf_fastd;stochf_fastk;aroon_aroondown;aroon_aroonup;medprice_10;typprice_10;wclprice_10;atr_10;macdfix_macd;sar_10;label
59.64988236484688;-27.082249795675594;23.594925624043753;55.48487161777527;105.61999999999898;45.02081691771386;63.56166485566927;11008.112;10949.670000000002;10963.249500000004;10959.633000000002;;10983.513272727267;;;10994.949585211898;10977.33157592054;10956.9227831579;10952.489064241456;11007.03777777777;10966.106333333324;10937.834363636355;10963.374500000004;23.65493746741937;11102.01878430622;10949.670000000002;10797.321215693784;0.9691206345070036;1.00969120634507;45.02081691771386;20.812513578101196;10.0;70.0;11010.26;11008.226666666667;11007.21;59.170524618659144;22.787707805162427;10846.64506447667;1
63.12984431605838;-17.83365570599627;25.853172853303477;62.36317979863004;205.16999999999825;39.00506580242408;49.8989506482143;11012.537999999999;10970.187;10962.610500000004;10963.246333333336;;10998.293272727267;;;11006.953056807932;10987.08219848044;10963.97394666667;10957.551705258136;11006.375555555549;10986.324666666656;10937.230545454535;10962.212125000004;23.875361915221145;11104.466882349494;10970.187;10835.907117650506;1.8951965630221723;1.0189519656302217;39.00506580242408;48.64654116074293;0.0;60.0;11020.21;11023.793333333333;11025.585;57.24347215679319;24.88651447204029;10855.861661897603;0
56.782975697240055;-31.479145473041207;24.834156604394593;45.79875697131457;156.0;30.666034349925866;38.23063902335459;11005.537999999997;10985.787;10962.904000000006;10965.41466666667;;11003.659272727267;;;11004.535371205287;10989.37634421127;10967.376427936511;10960.270950080192;11007.181111111104;10999.27499999999;10940.02627272726;10960.966208333337;24.136152745727223;11090.69872100252;10985.787;10880.87527899748;1.4386233481191946;1.014386233481192;30.666034349925866;22.539048310933474;0.0;50.0;11020.45;11013.533333333335;11010.075;55.899124941113975;23.91222792606095;10864.709595421698;1
58.54722002468532;-26.63275686673404;24.702857188818598;7.107165381067503;158.98999999999978;41.57883706676528;37.08331240637173;11008.817999999997;11001.686;10964.669000000005;10969.525333333335;;11008.354363636357;;;11006.893580803526;10993.418827081949;10971.589149085416;10963.583146849212;11012.207777777769;11006.405333333323;10945.632181818171;10959.986125000003;23.267417369700134;11057.977272642967;11001.686;10945.394727357032;1.4649918637158477;1.0146499186371585;41.57883706676528;53.55092172861945;10.0;40.0;10995.2;11000.67;11003.405;54.11521244700252;23.770432565117517;10873.203611604831;0
57.16688848591214;-47.417437252311245;23.81271824853684;14.298942508975221;79.20000000000073;40.0203194178384;37.42173027817651;11010.34;11009.606000000002;10965.624500000005;10973.419000000002;;11009.005999999992;;;11006.35238720235;10995.573585794322;10974.796849172519;10966.272621246037;11010.407777777767;11009.036333333323;10953.082545454536;10958.921333333337;22.890041915086364;11034.821630382086;11009.606000000002;10984.390369617917;0.7248717974532637;1.0072487179745326;40.0203194178384;43.97098821396228;0.0;30.0;11015.55;11012.123333333331;11010.41;50.75969120230222;22.916028596217075;10881.357867140638;1
66.64579313870274;-2.983447318862361;28.33066958309064;177.44186667734644;66.09000000000015;64.90717090770549;48.83544246410306;11024.318;11016.215;10968.651500000004;10978.742000000002;;11020.723090909085;;;11028.9182581349;11009.842024740808;10984.249530203708;10973.226000520486;11016.642222222212;11011.610666666655;10961.679999999991;10958.331750000005;24.076392316567897;11062.271925860781;11016.215;10970.158074139219;0.6003837223245823;1.0060038372232458;64.90717090770549;97.19960278053476;0.0;20.0;11040.765;11051.86;11057.4075;52.90472208207209;27.144948153963924;10889.185952455013;1
68.88392964526012;-24.831188686456663;33.15253265622414;215.51214429138875;85.34000000000015;72.11313410268012;59.01354147607467;11036.96;11024.749;10972.169000000005;10983.554666666669;;11034.896727272722;;;11050.6688387566;11025.174383878842;10994.718146374784;10981.028839196584;11031.222222222212;11016.418666666656;10971.103727272717;10958.926333333337;26.373771754574307;11089.855845383176;11024.749;10959.642154616824;0.7751959109187911;1.007751959109188;72.11313410268012;75.16881131354333;70.0;100.0;11102.21;11099.529999999999;11098.189999999999;53.802249873864795;31.673555489509454;10896.700914356812;0
61.001534944501635;-47.04420945343392;33.77088654365252;101.11199233335599;24.599999999998545;75.10806821354805;70.70945774131123;11048.88;11027.209;10979.209500000004;10987.970333333335;;11041.178727272722;;;11053.545892504399;11031.379041355416;11000.868799100996;10986.078591506483;11054.65999999999;11022.475666666654;10980.887363636355;10960.935916666669;27.173961120736884;11095.418930330785;11027.209;10958.999069669217;0.2229331110043642;1.0022293311100436;75.10806821354805;52.95579054656608;60.0;90.0;11074.814999999999;11069.643333333332;11067.057499999999;54.201024886478216;32.26259550782561;10910.887859495404;1
63.5816488878342;-34.66683653968673;35.42046994213706;80.3493245505124;83.52000000000044;61.923703772032695;69.71496869608696;11062.303999999998;11035.561;10984.947500000006;10990.111666666668;;11050.546181818178;;;11061.940595002932;11039.988306563522;11008.284151567568;10992.05610173187;11070.356666666657;11031.936666666652;10990.373818181808;10964.234000000002;27.89413155028321;11106.453608611882;11035.561;10964.668391388117;0.7596035000695833;1.0075960350006958;61.923703772032695;57.64650945598867;50.0;80.0;11068.43;11071.863333333333;11073.58;53.24892239783041;33.82002402276339;10924.22358792568;1
69.31927551041245;-3.1787488852081767;40.2523604116941;116.05457553272866;130.5;68.9062430988878;68.64600502815618;11086.881999999998;11048.611;10993.859500000004;10993.386999999999;;11067.38236363636;;;11084.013730001954;11056.019523551973;11019.700899037323;11000.83699839433;11080.656666666657;11044.947333333317;11000.762636363625;10969.048583333335;29.43252918557697;11133.462561893428;11048.611;10963.759438106574;1.1866160619622645;1.0118661606196226;68.9062430988878;96.11642929410866;40.0;70.0;11092.869999999999;11104.633333333331;11110.515;54.98203015804736;38.37132692237719;10936.75917265014;1
