rsi_10;mom_10;ema_10;ema_20;ema_30;sma_10;sma_20;sma_30;wma_10;wma_20;wma_30;trima_10;trima_20;trima_30;roc_10;rocr_10;ppo_10;close;close_t-1;close_t-2;close_t-3;close_t-4;label
42.47378138511431;0.030000000000001137;176.01983484565136;176.03215669461494;176.02353333333332;176.04209000000003;175.93382000000003;176.02353333333332;176.0469800000002;175.99121380952383;175.98418860215054;176.07112999999995;175.9400727272728;175.94367416666665;0.01705223668504452;1.0001705223668504;0.02255991167700402;175.96;176.0;176.07;176.13;176.07;0
39.032237531944794;-0.04990000000000805;175.99804669189658;176.01957034274685;176.0155634408602;176.03710000000004;175.93307000000001;176.0005333333333;176.02114545454566;175.98799285714284;175.9762187096774;176.06676666666664;175.95930454545464;175.93894833333331;-0.02836034575751656;0.9997163965424248;0.027915678673251315;175.9;175.96;176.0;176.07;176.13;1
39.93354020037905;-0.06999999999999318;175.98203820246084;176.00913507200906;176.00875289628857;176.03010000000003;175.93857;175.97919999999993;175.99803636363657;175.9857957142857;175.97037784946235;176.05106666666663;175.9775827272728;175.93788916666665;-0.03977724741447419;0.9996022275258553;0.03462103336655548;175.91;175.9;175.96;176.0;176.07;1
41.84406180356187;-0.10999999999998522;175.97257671110432;176.0015983984844;176.00367206426995;176.01910000000004;175.95082;175.97487999999996;175.97983636363657;175.98497952380953;175.96720365591395;176.0257;175.99322454545458;175.94007999999997;-0.06248579868211035;0.9993751420131789;0.03783322794273433;175.93;175.91;175.9;175.96;176.0;0
31.960751298366596;-0.28600000000000136;175.93301730908536;175.97811283672397;175.98762870528478;175.99050000000005;175.950795;175.9647133333333;175.9318181818184;175.96632999999997;175.95301784946233;175.99116666666666;176.00303909090914;175.94241499999998;-0.1624621537028359;0.9983753784629716;0.032752782467247006;175.755;175.93;175.91;175.9;175.96;1
33.4575995333366;-0.4099999999999966;175.90337779834258;175.95829256655978;175.9735881436535;175.94950000000006;175.950795;175.95438;175.89172727272748;175.94911142857143;175.9404556989247;175.95166666666668;176.00653090909097;175.94487499999997;-0.23271653990236674;0.9976728346009763;0.030679326038987136;175.77;175.755;175.93;175.91;175.9;1
37.52969639255405;-0.2599999999999909;175.88640001682575;175.94416946498265;175.9630340698694;175.92350000000005;175.949795;175.93937999999997;175.86636363636381;175.93570238095236;175.93114086021504;175.9165;176.0039318181819;175.94737708333327;-0.14766854092121973;0.9985233145907878;0.024766686415631265;175.81;175.77;175.755;175.93;175.91;0
26.980926304533504;-0.549999999999983;175.83069092285743;175.90948665879384;175.93832219439395;175.86850000000004;175.939295;175.92137999999997;175.8039090909093;175.9004838095238;175.9079550537634;175.87600000000003;175.994150909091;175.94950458333327;-0.3122693465054116;0.9968773065349459;0.0036683007186736377;175.58;175.81;175.77;175.755;175.93;0
24.045627985333383;-0.5798999999999808;175.7687653005197;175.86954507224203;175.9094046334653;175.81051000000005;175.9183;175.90404999999998;175.7351090909093;175.85770333333332;175.8801305376344;175.82817;175.97600727272734;175.94992416666662;-0.32935764184698346;0.9967064235815302;-0.017029634742389364;175.4901;175.58;175.81;175.77;175.755;0
21.974398573679558;-0.5800000000000125;175.70535342769793;175.82673125583804;175.87783014098366;175.75251000000006;175.8958;175.87604999999996;175.66410727272748;175.81024619047616;175.84890150537635;175.77384;175.9511363636364;175.94763124999994;-0.3295454545454657;0.9967045454545453;-0.04487618183711711;175.42;175.4901;175.58;175.81;175.77;0
16.723012908449274;-0.7700000000000102;175.61165280448012;175.76609018385346;175.8334540028557;175.67551000000006;175.85880000000003;175.84771666666663;175.56183272727296;175.74302714285716;175.80464021505375;175.70834333333332;175.9180836363637;175.94212583333328;-0.43759945442146675;0.9956240054557853;-0.0742143154378615;175.19;175.42;175.4901;175.58;175.81;0
13.845771858695807;-0.8900000000000148;175.50226138548373;175.69408159491505;175.78032793815532;175.58651000000003;175.811805;175.81754999999995;175.44083090909112;175.66218904761905;175.75059397849463;175.62251333333333;175.8766672727273;175.93162041666662;-0.505969300739062;0.9949403069926094;-0.1045229489151963;175.01;175.19;175.42;175.4901;175.58;0
13.510019900406883;-0.9233999999999867;175.40850476994123;175.62670239539932;175.72911968408079;175.49417000000003;175.762135;175.79043666666664;175.3317563636366;175.58359809523805;175.6969843010753;175.51990333333336;175.82731000000004;175.91570499999995;-0.5249275197544145;0.9947507248024559;-0.13223254421380273;174.9866;175.01;175.19;175.42;175.4901;1
19.39435922726632;-0.8799999999999955;175.34332208449737;175.57177835774223;175.68530551091428;175.40617000000003;175.71263500000003;175.76926999999995;175.25099818181843;175.51577571428567;175.64921419354843;175.4136233333334;175.7705890909091;175.8941645833333;-0.5001989427613207;0.9949980105723868;-0.1563608035122862;175.05;174.9866;175.01;175.19;175.42;0
15.079255143875653;-0.9449999999999932;175.24635443277057;175.49922803795727;175.62883418762948;175.31167;175.65108500000002;175.7377533333333;175.1426036363639;175.42981047619043;175.58732580645167;175.3016733333334;175.70627727272733;175.8660616666666;-0.5376802935905034;0.994623197064095;-0.18448731666517576;174.81;175.05;174.9866;175.01;175.19;1
16.793409053791855;-0.9399999999999977;175.17065362681228;175.4354920343423;175.577296498105;175.21767;175.58358500000003;175.70641999999995;175.05502727272753;175.35161190476185;175.52876107526887;175.18889000000007;175.6360200000001;175.83223166666664;-0.5347897821016079;0.9946521021789839;-0.21393812845173038;174.83;174.81;175.05;174.9866;175.01;0
