datetime;open;high;low;close;volume
2019-07-01 00:00:00;10769.05;10950.53;10630.88;10906.5;35227755.25
2019-07-01 00:15:00;10906.5;10955.53;10868.07;10934.65;14542188.549999999
2019-07-01 00:30:00;10934.65;10946.08;10857.29;10914.36;7331187.16
2019-07-01 00:45:00;10914.36;11028.13;10911.18;11014.49;13287593.189999998
2019-07-01 01:00:00;11014.49;11101.07;10990.36;11043.74;11623011.62
2019-07-01 01:15:00;11043.74;11043.74;10951.95;10986.16;5720899.639999999
2019-07-01 01:30:00;10986.16;11046.01;10911.99;10918.49;8080185.18
2019-07-01 01:45:00;10918.49;10978.16;10898.31;10898.54;8545087.59
2019-07-01 02:00:00;10898.54;10915.74;10807.88;10852.62;11514338.950000001
2019-07-01 02:15:00;10852.62;11028.75;10831.31;11008.83;9949198.02
2019-07-01 02:30:00;11008.83;11077.06;10987.29;10997.66;6119990.740000001
2019-07-01 02:45:00;10997.66;11042.35;10993.57;10999.7;4049824.83
2019-07-01 03:00:00;10999.7;11076.87;10976.17;11074.05;4904065.56
2019-07-01 03:15:00;11074.05;11133.15;11045.92;11078.73;8374638.030000001
2019-07-01 03:30:00;11078.73;11166.54;11057.58;11135.31;8195602.939999998
2019-07-01 03:45:00;11135.31;11207.0;11085.91;11085.91;6411332.49
2019-07-01 04:00:00;11085.91;11109.53;11029.08;11046.87;3872227.69
2019-07-01 04:15:00;11046.87;11088.13;11040.1;11041.72;3829860.92
2019-07-01 04:30:00;11041.72;11132.56;11031.55;11110.33;5928628.89
2019-07-01 04:45:00;11110.33;11137.07;11052.13;11086.59;6663327.530000001
2019-07-01 05:00:00;11086.59;11088.88;10973.83;10982.19;6881047.14
2019-07-01 05:15:00;10982.19;11114.01;10895.87;11109.97;34347337.41
2019-07-01 05:30:00;11109.97;11146.49;11065.05;11076.81;17593767.66
2019-07-01 05:45:00;11076.81;11078.4;10996.29;11013.0;8157922.219999999
2019-07-01 06:00:00;11013.0;11073.03;10985.33;11068.79;6148349.73
2019-07-01 06:15:00;11068.79;11068.79;11002.35;11019.32;4141711.6599999997
2019-07-01 06:30:00;11019.32;11029.92;10927.05;10962.74;8710958.530000001
2019-07-01 06:45:00;10962.74;10964.18;10878.7;10899.9;8869511.550000003
2019-07-01 07:00:00;10899.9;10991.83;10895.49;10983.25;9780600.57
2019-07-01 07:15:00;10983.25;11010.57;10818.23;10864.71;10060454.75
2019-07-01 07:30:00;10864.71;10900.6;10816.81;10832.22;6454361.569999999
2019-07-01 07:45:00;10832.22;10921.86;10832.22;10915.17;5082502.949999999
2019-07-01 08:00:00;10915.17;10999.28;10910.91;10946.76;6927961.349999999
2019-07-01 08:15:00;10946.76;10947.18;10889.08;10943.91;3885005.13
2019-07-01 08:30:00;10943.91;11053.52;10938.69;11038.79;11044689.520000001
2019-07-01 08:45:00;11038.79;11111.99;11025.36;11108.86;9242606.26
2019-07-01 09:00:00;11108.86;11112.41;11023.42;11039.78;9853578.91
2019-07-01 09:15:00;11039.78;11101.0;11021.93;11030.52;7389493.78
2019-07-01 09:30:00;11030.52;11073.2;11024.76;11066.45;5882964.449999999
2019-07-01 09:45:00;11066.45;11131.85;11044.36;11049.16;14073904.640000002
2019-07-01 10:00:00;11049.16;11091.87;11029.7;11029.7;6235271.539999999
2019-07-01 10:15:00;11029.7;11029.7;10938.83;10943.38;12878062.149999999
2019-07-01 10:30:00;10943.38;10965.18;10892.13;10926.61;10286395.78
2019-07-01 10:45:00;10926.61;10931.09;10843.39;10921.32;15243298.020000003
2019-07-01 11:00:00;10921.32;10955.78;10896.71;10897.78;7515929.85
2019-07-01 11:15:00;10897.78;10975.63;10889.15;10923.32;6138784.9399999995
2019-07-01 11:30:00;10923.32;10979.82;10914.58;10920.1;4274446.53
2019-07-01 11:45:00;10920.1;10993.32;10878.99;10983.55;5890337.55
2019-07-01 12:00:00;10983.55;10992.32;10919.48;10925.47;3947790.3299999996
2019-07-01 12:15:00;10925.47;10959.04;10606.94;10686.79;37999948.22
2019-07-01 12:30:00;10686.79;10697.12;10574.98;10616.26;23058248.450000003
2019-07-01 12:45:00;10616.26;10658.8;10502.18;10621.45;27812517.779999997
2019-07-01 13:00:00;10621.45;10665.57;10602.39;10604.71;8676383.690000001
2019-07-01 13:15:00;10604.71;10686.72;10560.88;10679.17;15267824.229999999
2019-07-01 13:30:00;10679.17;10679.17;10609.92;10660.44;9977743.26
2019-07-01 13:45:00;10660.44;10661.83;10546.3;10546.85;12459301.160000002
2019-07-01 14:00:00;10546.85;10599.58;10483.49;10575.26;17014168.27
2019-07-01 14:15:00;10575.26;10626.12;10562.41;10568.94;9381333.879999999
2019-07-01 14:30:00;10568.94;10579.44;10433.13;10453.12;17290068.55
2019-07-01 14:45:00;10453.12;10503.34;10202.58;10214.46;47989579.089999996
2019-07-01 15:00:00;10214.46;10275.65;10146.97;10202.59;46706971.27000001
2019-07-01 15:15:00;10202.59;10271.01;10086.19;10086.2;29918171.5
2019-07-01 15:30:00;10086.2;10217.91;10006.43;10171.07;51239626.12
2019-07-01 15:45:00;10171.07;10357.99;10166.73;10355.63;34205088.519999996
2019-07-01 16:00:00;10355.63;10408.57;10302.28;10341.86;19151997.239999995
2019-07-01 16:15:00;10341.86;10438.56;10334.74;10411.02;10630956.520000001
2019-07-01 16:30:00;10411.02;10423.57;10337.08;10337.87;8316103.270000001
2019-07-01 16:45:00;10337.87;10340.08;10239.26;10295.09;14525729.77
2019-07-01 17:00:00;10295.09;10384.44;10236.9;10361.32;10548545.43
2019-07-01 17:15:00;10361.32;10361.32;10229.23;10263.12;8367415.75
2019-07-01 17:30:00;10263.12;10281.45;10174.11;10244.85;14438433.600000001
2019-07-01 17:45:00;10244.85;10278.96;10163.37;10264.19;11892197.120000001
2019-07-01 18:00:00;10264.19;10300.52;10209.66;10212.19;8117577.33
2019-07-01 18:15:00;10212.19;10268.16;10178.59;10263.46;8808428.74
2019-07-01 18:30:00;10263.46;10339.33;10258.92;10289.77;7254377.41
2019-07-01 18:45:00;10289.77;10337.67;10277.18;10286.66;8479124.67
2019-07-01 19:00:00;10286.66;10288.33;10140.11;10171.53;17857703.099999998
2019-07-01 19:15:00;10171.53;10207.81;10101.27;10103.07;15886816.709999999
2019-07-01 19:30:00;10103.07;10169.11;10069.78;10111.51;13128369.0
2019-07-01 19:45:00;10111.51;10257.87;10008.85;10220.11;35213073.42
2019-07-01 20:00:00;10220.11;10393.63;10218.2;10336.76;24532998.73
2019-07-01 20:15:00;10336.76;10410.88;10301.72;10341.18;11420669.5
2019-07-01 20:30:00;10341.18;10508.94;10305.92;10508.67;17548783.759999998
2019-07-01 20:45:00;10508.67;10567.37;10463.37;10493.11;17452388.54
2019-07-01 21:00:00;10493.11;10593.38;10489.09;10541.1;13890515.39
2019-07-01 21:15:00;10541.1;10548.08;10446.24;10484.75;9151660.259999998
2019-07-01 21:30:00;10484.75;10584.38;10481.19;10575.52;5892085.82
2019-07-01 21:45:00;10575.52;10606.18;10532.06;10578.24;7921364.6099999985
2019-07-01 22:00:00;10578.24;10578.24;10501.85;10551.42;8681504.700000001
2019-07-01 22:15:00;10551.42;10557.38;10438.61;10470.74;10092932.219999999
2019-07-01 22:30:00;10470.74;10533.44;10470.08;10479.13;11921690.57
2019-07-01 22:45:00;10479.13;10506.86;10446.66;10470.08;6167767.720000001
2019-07-01 23:00:00;10470.08;10568.7;10468.51;10541.14;8276239.2700000005
2019-07-01 23:15:00;10541.14;10606.57;10534.52;10605.71;5952895.549999999
2019-07-01 23:30:00;10605.71;10652.12;10557.61;10565.04;10567838.32
2019-07-01 23:45:00;10565.04;10597.21;10556.17;10591.87;2820011.75
2019-07-02 00:00:00;10591.87;10673.44;10580.07;10672.72;9011112.219999999
2019-07-02 00:15:00;10672.72;10672.72;10478.78;10522.2;18861958.73
2019-07-02 00:30:00;10522.2;10535.18;10440.55;10442.84;7213958.33
2019-07-02 00:45:00;10442.84;10476.52;10352.64;10352.64;10149957.76
2019-07-02 01:00:00;10352.64;10399.91;10335.13;10399.91;5364070.98
2019-07-02 01:15:00;10399.91;10403.58;10315.05;10338.32;4249283.42
2019-07-02 01:30:00;10338.32;10368.72;10260.25;10293.76;7279143.640000001
2019-07-02 01:45:00;10293.76;10293.76;10200.46;10245.84;9124130.12
2019-07-02 02:00:00;10245.84;10321.87;10220.86;10312.27;5893782.3100000005
2019-07-02 02:15:00;10312.27;10324.28;10282.61;10322.62;5192200.87
2019-07-02 02:30:00;10322.62;10371.42;10294.9;10303.26;5418994.299999999
2019-07-02 02:45:00;10303.26;10329.93;10246.21;10254.43;4745367.79
2019-07-02 03:00:00;10254.43;10290.29;10229.21;10275.29;5316374.870000001
2019-07-02 03:15:00;10275.29;10329.3;10270.17;10273.34;4342921.5
2019-07-02 03:30:00;10273.34;10331.3;10251.51;10304.93;4812856.1
2019-07-02 03:45:00;10304.93;10322.06;10278.89;10321.15;2666736.4699999997
2019-07-02 04:00:00;10321.15;10361.82;10239.96;10257.23;8002540.880000002
2019-07-02 04:15:00;10257.23;10259.96;9901.93;9917.38;64540413.18
2019-07-02 04:30:00;9917.38;9967.16;9809.69;9894.15;47403687.33999999
