datetime; open; high; low; close; volume; suspicious
34464000;2161430;2161430;2161430;2161430;20;0
34466000;2161301;2161301;2161301;2161301;295;0
34477000;2161300;2161300;2161300;2161300;100;0
34479000;2161500;2161500;2161500;2161500;500;0
34488000;2161500;2161500;2161400;2161400;440;0
34489000;2161500;2161500;2161500;2161500;100;0
34500000;2161500;2161500;2161500;2161500;100;0
34503000;2161500;2161500;2161500;2161500;300;0
34504000;2161400;2161400;2161400;2161400;200;0
34506000;2161400;2161425;2161300;2161300;2100;0
34507000;2161300;2161300;2161300;2161300;1000;0
34527000;2161100;2161101;2161100;2161101;490;0
34528000;2161100;2161100;2161100;2161100;108;0
34532000;2161200;2161200;2161200;2161200;100;0
34533000;2161200;2161200;2161100;2161100;298;0
34542000;2161100;2161100;2161100;2161100;400;0
34543000;2161100;2161100;2161100;2161100;200;0
34545000;2161000;2161000;2161000;2161000;400;0
34552000;2160900;2160900;2160800;2160800;600;0
34558000;2160800;2160800;2160800;2160800;1409;0
34562000;2160800;2160800;2160800;2160800;100;0
34563000;2160800;2160800;2160800;2160800;100;0
34570000;2160800;2160800;2160800;2160800;1000;0
34571000;2160800;2160800;2160800;2160800;1300;0
34573000;2160800;2160900;2160800;2160800;1121;0
34574000;2160800;2160800;2160800;2160800;100;0
34575000;2160800;2160800;2160800;2160800;104;0
34576000;2160800;2160800;2160800;2160800;400;0
34577000;2160800;2160900;2160800;2160900;780;0
34580000;2161000;2161000;2161000;2161000;2241;0
34583000;2161100;2161100;2161000;2161000;200;0
34584000;2161100;2161200;2161100;2161200;400;0
34592000;2161150;2161150;2161100;2161100;114;0
34595000;2161199;2161199;2161199;2161199;1;0
34598000;2161144;2161144;2161144;2161144;14;0
34602000;2161100;2161100;2161100;2161100;1000;0
34603000;2161100;2161100;2161100;2161100;50;0
34610000;2161000;2161000;2161000;2161000;100;0
34618000;2161050;2161050;2161050;2161050;10;0
34621000;2161100;2161100;2161100;2161100;2266;0
34622000;2161100;2161100;2161100;2161100;1200;0
34629000;2161100;2161200;2161100;2161100;2286;0
34634000;2161200;2161200;2161200;2161200;41;0
34635000;2161300;2161300;2161300;2161300;300;0
34639000;2161200;2161200;2161200;2161200;300;0
34641000;2161500;2161600;2161500;2161500;1742;0
34643000;2161500;2161500;2161500;2161500;256;0
34644000;2161500;2161500;2161500;2161500;100;0
34645000;2161400;2161400;2161400;2161400;169;0
34659000;2161400;2161400;2161400;2161400;100;0
34664000;2161400;2161400;2161400;2161400;100;0
34665000;2161300;2161300;2161300;2161300;100;0
34668000;2161300;2161300;2161300;2161300;82;0
34673000;2161300;2161300;2161300;2161300;200;0
34679000;2161300;2161300;2161300;2161300;115;0
34681000;2161300;2161300;2161300;2161300;118;0
34683000;2161400;2161400;2161400;2161400;200;0
34713000;2161400;2161400;2161400;2161400;50;0
34714000;2161400;2161400;2161300;2161300;600;0
34720000;2161401;2161401;2161401;2161401;1;0
34724000;2161501;2161530;2161500;2161530;744;0
34725000;2161508;2161508;2161508;2161508;100;0
34726000;2161500;2161500;2161500;2161500;40;0
34732000;2161600;2161600;2161600;2161600;800;0
34733000;2161600;2161600;2161600;2161600;900;0
34752000;2161500;2161500;2161500;2161500;300;0
34754000;2161500;2161500;2161500;2161500;100;0
34755000;2161500;2161500;2161500;2161500;400;0
34762000;2161600;2161600;2161600;2161600;300;0
34765000;2161700;2161700;2161700;2161700;1000;0
34774000;2161600;2161600;2161600;2161600;100;0
34779000;2161600;2161800;2161600;2161800;2802;0
34780000;2161700;2161700;2161700;2161700;207;0
