datetime; open; high; low; close; volume; suspicious
22654000;1423900;1423900;1423900;1423900;1;0
22697000;1423900;1423900;1423900;1423900;300;0
22758000;1424100;1424100;1424100;1424100;1;0
22788000;1424300;1424300;1424300;1424300;1;0
22840000;1424500;1424500;1424500;1424500;2000;0
22982000;1424300;1424300;1424300;1424300;100;0
23054000;1424500;1424500;1424500;1424500;800;0
23215000;1424500;1424500;1424500;1424500;10;0
23350000;1424500;1424500;1424500;1424500;200;0
23415000;1424600;1424600;1424600;1424600;2;0
23442000;1424400;1424400;1424400;1424400;100;0
23450000;1424400;1424400;1424400;1424400;15;0
23457000;1424400;1424400;1424400;1424400;20;0
23467000;1424400;1424400;1424400;1424400;10;0
23594000;1424400;1424400;1424400;1424400;1;0
23595000;1424400;1424400;1424400;1424400;28;0
23768000;1424200;1424200;1424200;1424200;200;0
23948000;1424300;1424300;1424300;1424300;96;0
23988000;1424200;1424200;1424200;1424200;100;0
24168000;1424300;1424300;1424300;1424300;75;0
24261000;1424500;1424500;1424500;1424500;100;0
24270000;1424300;1424300;1424300;1424300;1000;0
24356000;1424500;1424500;1424500;1424500;1000;0
25000000;1424000;1424000;1424000;1424000;638;0
25105000;1424200;1424200;1424200;1424200;10;0
25209000;1424600;1424800;1424600;1424800;202;0
25224000;1424900;1424900;1424900;1424900;100;0
25286000;1424900;1424900;1424900;1424900;372;0
25339000;1424900;1424900;1424900;1424900;4;0
25544000;1424400;1424400;1424400;1424400;1;0
25546000;1424300;1424300;1424300;1424300;2;0
26097000;1424600;1424600;1424600;1424600;1000;0
26446000;1424400;1424400;1424400;1424400;50;0
26623000;1424200;1424200;1424200;1424200;30;0
26633000;1424200;1424200;1424200;1424200;200;0
26654000;1424200;1424200;1424200;1424200;336;0
26860000;1424300;1424300;1424300;1424300;100;0
26870000;1424400;1424400;1424400;1424400;20;0
26877000;1424300;1424300;1424300;1424300;10;0
26961000;1424700;1424700;1424500;1424700;2000;0
27190000;1424700;1424700;1424700;1424700;30;0
27285000;1424700;1424700;1424700;1424700;400;0
27455000;1424400;1424400;1424400;1424400;293;0
27511000;1424600;1424600;1424600;1424600;40;0
27531000;1424600;1424600;1424600;1424600;300;0
27784000;1424700;1424700;1424700;1424700;600;0
27785000;1424800;1424800;1424800;1424800;400;0
28055000;1424900;1424900;1424900;1424900;100;0
28077000;1424900;1424900;1424900;1424900;1226;0
28078000;1424900;1424900;1424900;1424900;394;0
28084000;1425000;1425000;1425000;1425000;380;0
28114000;1425100;1425100;1425100;1425100;1000;0
28158000;1425100;1425100;1425100;1425100;1;0
28176000;1425200;1425200;1425200;1425200;1;0
28346000;1425100;1425100;1425100;1425100;100;0
28377000;1425000;1425000;1425000;1425000;300;0
28503000;1425000;1425000;1424900;1424900;70;0
28532000;1424500;1424500;1424500;1424500;1000;0
28609000;1424600;1424600;1424600;1424600;1;0
28640000;1424300;1424300;1424300;1424300;1000;0
28649000;1424400;1424400;1424400;1424400;1;0
28651000;1424300;1424300;1424300;1424300;2;0
28687000;1424300;1424300;1424300;1424300;100;0
28800000;1424400;1424400;1424400;1424400;600;0
28801000;1424200;1424200;1424200;1424200;100;0
28806000;1424200;1424200;1424200;1424200;50;0
28844000;1424500;1424500;1424500;1424500;133;0
28855000;1424400;1424400;1424400;1424400;40;0
28858000;1424300;1424300;1424300;1424300;100;0
28871000;1424500;1424500;1424500;1424500;500;0
29099000;1421200;1421200;1421200;1421200;95;0
29130000;1424300;1424300;1424300;1424300;200;0
