datetime; open; high; low; close; volume; suspicious
27111000;2456600;2456600;2456600;2456600;100;0
27128000;2456600;2456600;2456600;2456600;200;0
27161000;2456600;2456600;2456600;2456600;15;0
27195000;2456600;2456600;2456600;2456600;200;0
27342000;2456500;2456500;2456500;2456500;88;0
27620000;2456500;2456500;2456500;2456500;40;0
27851000;2456500;2456700;2456500;2456700;8250;0
27864000;2456800;2456800;2456800;2456800;300;0
27959000;2456800;2456800;2456800;2456800;100;0
27993000;2456800;2456800;2456800;2456800;30;0
28019000;2456800;2456800;2456800;2456800;100;0
28026000;2456800;2456800;2456800;2456800;69;0
28052000;2456800;2457200;2456800;2457200;8211;0
28178000;2457200;2457200;2457200;2457200;3000;0
28185000;2457300;2457400;2457300;2457400;590;0
28259000;2457000;2457000;2457000;2457000;53;0
28302000;2457000;2457000;2457000;2457000;400;0
28333000;2457200;2457200;2457200;2457200;350;0
28340000;2457000;2457000;2457000;2457000;1;0
28412000;2457000;2457000;2457000;2457000;100;0
28465000;2456900;2456900;2456900;2456900;100;0
28635000;2456700;2456700;2456700;2456700;1;0
28641000;2456500;2456500;2456500;2456500;101;0
28650000;2456600;2456600;2456600;2456600;969;0
28660000;2456500;2456500;2456500;2456500;2635;0
28661000;2456500;2456500;2456500;2456500;969;0
28669000;2456500;2456500;2456500;2456500;100;0
28707000;2456500;2456500;2456500;2456500;10;0
28746000;2456500;2456500;2456500;2456500;21;0
28800000;2455600;2455600;2455600;2455600;9248;0
28805000;2457200;2457200;2457200;2457200;390;0
28836000;2456700;2456700;2456700;2456700;287;0
28882000;2456800;2456800;2456800;2456800;100;0
28919000;2456800;2456900;2456800;2456900;2839;0
28953000;2457000;2457000;2457000;2457000;25;0
29045000;2456800;2456800;2456800;2456800;400;0
29113000;2456800;2456800;2456800;2456800;1000;0
29119000;2456800;2456800;2456800;2456800;1000;0
29130000;2457000;2457000;2457000;2457000;600;0
29162000;2456800;2456800;2456800;2456800;5;0
29278000;2456800;2456800;2456800;2456800;10;0
29347000;2456700;2456700;2456500;2456500;4541;0
29364000;2456600;2456600;2456600;2456600;969;0
29369000;2456500;2456500;2456500;2456500;300;0
29412000;2456800;2456800;2456800;2456800;4;0
29416000;2456700;2456700;2456400;2456400;10000;0
29491000;2456800;2456800;2456800;2456800;50;0
29495000;2456400;2456400;2456400;2456400;50;0
29587000;2456700;2456700;2456700;2456700;42;0
29640000;2456700;2456700;2456700;2456700;100;0
29641000;2456700;2456700;2456700;2456700;100;0
29644000;2456800;2456800;2456800;2456800;1206;0
29731000;2456800;2456800;2456800;2456800;717;0
29734000;2456700;2456700;2456700;2456700;5000;0
29741000;2456800;2456800;2456800;2456800;300;0
29759000;2456800;2456800;2456800;2456800;100;0
29803000;2456700;2456700;2456700;2456700;76;0
29814000;2456800;2456800;2456800;2456800;3000;0
29867000;2456800;2456800;2456800;2456800;185;0
29868000;2456800;2456800;2456800;2456800;100;0
29946000;2456700;2456700;2456700;2456700;80;0
29961000;2456800;2456800;2456800;2456800;100;0
29985000;2456500;2456500;2456500;2456500;48;0
30012000;2456500;2456500;2456500;2456500;48;0
30027000;2456500;2456500;2456500;2456500;43;0
30053000;2456500;2456500;2456500;2456500;43;0
30058000;2456500;2456500;2456500;2456500;500;0
30069000;2456600;2456600;2456600;2456600;40;0
30071000;2456500;2456500;2456500;2456500;40;0
30079000;2456600;2456600;2456600;2456600;300;0
30080000;2456500;2456500;2456500;2456500;1401;0
30084000;2456500;2456500;2456500;2456500;100;0
30085000;2456500;2456500;2456500;2456500;281;0
30090000;2456500;2456500;2456500;2456500;39;0
30093000;2456400;2456400;2456400;2456400;100;0
30094000;2456400;2456400;2456200;2456200;2319;0
30118000;2456200;2456200;2456100;2456100;470;0
30123000;2456200;2456200;2456200;2456200;100;0
30130000;2456200;2456200;2456200;2456200;500;0
30149000;2456200;2456200;2456200;2456200;469;0
30153000;2456100;2456100;2456100;2456100;90;0
30192000;2456100;2456100;2456100;2456100;104;0
30208000;2456100;2456100;2456100;2456100;775;0
30223000;2456000;2456000;2456000;2456000;900;0
30237000;2456100;2456100;2456100;2456100;425;0
30240000;2456200;2456200;2456200;2456200;40;0
30247000;2456300;2456300;2456300;2456300;101;0
30248000;2456300;2456300;2456300;2456300;100;0
30275000;2456300;2456300;2456300;2456300;1100;0
30295000;2456400;2456400;2456400;2456400;300;0
30296000;2456400;2456400;2456400;2456400;500;0
30311000;2456300;2456300;2456300;2456300;1100;0
30316000;2456100;2456100;2456100;2456100;1;0
30318000;2456200;2456200;2456200;2456200;1000;0
30321000;2456200;2456200;2456100;2456200;1000;0
30330000;2456200;2456200;2456200;2456200;400;0
30342000;2456300;2456300;2456300;2456300;1;0
30377000;2456300;2456300;2456300;2456300;25;0
30383000;2456200;2456200;2456200;2456200;600;0
30424000;2456200;2456200;2456200;2456200;43;0
30437000;2456200;2456200;2456200;2456200;40;0
30456000;2456200;2456200;2456200;2456200;49;0
30478000;2456300;2456300;2456300;2456300;100;0
30480000;2456200;2456200;2456200;2456200;42;0
30481000;2456300;2456300;2456300;2456300;1600;0
30493000;2456300;2456300;2456300;2456300;42;0
30512000;2456200;2456200;2456200;2456200;41;0
30542000;2456300;2456300;2456200;2456200;563;0
30549000;2456300;2456300;2456300;2456300;30;0
30556000;2456300;2456300;2456300;2456300;100;0
30582000;2456400;2456400;2456400;2456400;100;0
