datetime; open; high; low; close; volume; suspicious
35626000;334600;334600;334600;334600;600;0
35650000;334600;334600;334600;334600;400;0
35669000;334600;334600;334600;334600;400;0
35677000;334500;334500;334500;334500;200;0
35695000;334500;334500;334500;334500;200;0
35697000;334574;334574;334574;334574;60;0
35708000;334500;334500;334500;334500;626;0
35722000;334500;334500;334500;334500;300;0
35807000;334500;334500;334500;334500;1100;0
35897000;334500;334500;334500;334500;300;0
35902000;334500;334500;334500;334500;2;0
35940000;334600;334600;334600;334600;100;0
35972000;334600;334600;334600;334600;2900;0
35976000;334500;334500;334500;334500;1100;0
35979000;334500;334500;334500;334500;300;0
36014000;334500;334500;334500;334500;1011;0
36027000;334500;334500;334500;334500;200;0
36051000;334500;334500;334500;334500;1011;0
36069000;334500;334500;334500;334500;200;0
36097000;334600;334600;334600;334600;300;0
36149000;334600;334600;334600;334600;100;0
36177000;334600;334600;334600;334600;300;0
36181000;334600;334600;334600;334600;200;0
36192000;334700;334700;334700;334700;600;0
36199000;334700;334700;334700;334700;200;0
36286000;334600;334600;334600;334600;100;0
36320000;334700;334700;334700;334700;400;0
36364000;334650;334650;334650;334650;100;0
36395000;334700;334700;334700;334700;1614;0
36424000;334800;334800;334750;334750;300;0
36445000;334700;334700;334700;334700;150;0
36451000;334700;334700;334700;334700;100;0
36500000;334800;334800;334800;334800;300;0
36579000;334800;334800;334800;334800;200;0
36595000;334750;334750;334700;334700;1000;0
36617000;334800;334800;334800;334800;5467;0
36730000;334700;334700;334700;334700;100;0
36760000;334764;334764;334764;334764;300;0
36765000;334700;334700;334700;334700;100;0
36767000;334700;334700;334700;334700;100;0
36768000;334700;334700;334700;334700;15;0
36776000;334700;334700;334700;334700;400;0
36777000;334700;334700;334700;334700;1985;0
36779000;334700;334700;334700;334700;300;0
36782000;334700;334700;334700;334700;500;0
36789000;334700;334700;334700;334700;400;0
36798000;334700;334700;334700;334700;400;0
36800000;334700;334700;334700;334700;700;0
36839000;334690;334690;334690;334690;89;0
36849000;334600;334600;334600;334600;100;0
36856000;334600;334600;334600;334600;300;0
36871000;334600;334600;334600;334600;300;0
36906000;334700;334700;334700;334700;200;0
36928000;334700;334700;334700;334700;200;0
36947000;334700;334700;334700;334700;100;0
36954000;334700;334700;334700;334700;200;0
36955000;334700;334700;334700;334700;400;0
36962000;334700;334700;334700;334700;300;0
36996000;334700;334700;334700;334700;16;0
36999000;334700;334700;334700;334700;984;0
37033000;334700;334700;334700;334700;100;0
37035000;334700;334700;334700;334700;200;0
37046000;334700;334700;334700;334700;200;0
37112000;334600;334600;334600;334600;300;0
37113000;334600;334600;334600;334600;700;0
37116000;334600;334600;334600;334600;300;0
37125000;334600;334600;334600;334600;300;0
37161000;334600;334600;334600;334600;500;0
37165000;334600;334600;334600;334600;500;0
37171000;334600;334600;334600;334600;100;0
37180000;334600;334600;334600;334600;500;0
37189000;334600;334600;334600;334600;200;0
37270000;334500;334600;334500;334600;300;0
37274000;334600;334600;334600;334600;900;0
37294000;334600;334600;334600;334600;100;0
37297000;334600;334600;334600;334600;300;0
37299000;334600;334600;334600;334600;100;0
37304000;334600;334600;334600;334600;300;0
37332000;334600;334600;334600;334600;400;0
37333000;334600;334600;334600;334600;100;0
37346000;334500;334500;334500;334500;400;0
37352000;334600;334600;334600;334600;900;0
37386000;334600;334600;334600;334600;300;0
37601000;334680;334680;334680;334680;126;0
37623000;334600;334600;334600;334600;100;0
37642000;334600;334600;334600;334600;1200;0
37681000;334500;334500;334300;334300;2074;0
37686000;334400;334400;334400;334400;700;0
37696000;334400;334400;334400;334400;18;0
37712000;334400;334400;334400;334400;200;0
37734000;334500;334600;334500;334600;1943;0
37736000;334500;334500;334500;334500;100;0
37738000;334500;334500;334500;334500;2623;0
